epoch,train_loss,test_loss,test_accuracy,epoch_time_sec
1,2.303001424560547,2.3028210205078126,10.0,18.76571798324585
2,2.3029624152374266,2.3026572021484375,10.0,18.052109241485596
3,2.302934679260254,2.3026515380859376,10.0,17.90808343887329
4,2.302875831756592,2.3026614990234373,10.0,18.122803688049316
5,2.3028649431610106,2.3029396728515623,10.0,18.28960418701172
6,2.3028582384490965,2.3026341796875,10.0,17.77530264854431
7,2.3028156689453123,2.3026253662109375,10.0,17.9840087890625
8,2.302612933502197,2.3026209228515624,10.0,18.223181009292603
9,2.301355356063843,2.293359851074219,17.37,18.375993251800537
10,2.0934056887054444,1.91086875,19.9,18.25292420387268
11,1.903115920944214,1.8864682861328126,22.38,18.26928973197937
12,1.8552397274017334,1.79092529296875,27.99,18.20583176612854
13,1.7462107961273194,1.6165561279296874,36.54,18.235618591308594
14,1.5879688734436035,1.4924348876953124,40.23,18.249524116516113
15,1.4588721294403075,1.4047343139648438,46.09,18.239152193069458
16,1.3417348487091065,1.3661893432617187,50.61,18.264539003372192
17,1.2266538823127746,1.1596008972167968,57.15,18.244327545166016
18,1.1333382805252075,1.0688210205078126,60.94,17.77317523956299
19,1.04740512424469,1.0438371948242187,63.1,17.79143214225769
20,0.9735145732498169,0.9663785949707031,65.5,17.789822340011597
21,0.8760889318656921,0.9213901062011719,69.14,17.786669969558716
22,0.8208997690200805,0.7960650207519532,73.1,17.778104305267334
23,0.7521693769264222,0.7400219360351562,74.78,17.840546131134033
24,0.7019459733963013,0.6873528442382812,76.79,17.805909156799316
25,0.6645733305931091,0.6873600769042969,77.58,17.796876668930054
26,0.6220524098587036,0.6579665161132813,78.62,17.79090690612793
27,0.5912753737258911,0.686320654296875,77.42,17.805273056030273
28,0.5638238595581054,0.6165948852539063,79.94,17.780558824539185
29,0.5478692245483399,0.6207717895507813,79.8,17.75319218635559
30,0.5215868656921386,0.6439770751953126,79.01,17.783613920211792
