epoch,train_loss,test_loss,test_accuracy,epoch_time_sec
1,2.302998595352173,2.302819873046875,10.0,18.725371837615967
2,2.302936307144165,2.3026474365234373,10.0,17.843048572540283
3,2.302880083694458,2.3025897338867187,10.0,17.991039514541626
4,2.30259038230896,2.3020395263671873,10.0,17.938284635543823
5,2.2063156562042234,2.0382826171875,18.95,17.933839321136475
6,1.9365123931503296,1.864977392578125,23.99,17.960086584091187
7,1.8594400884246827,1.782902001953125,28.27,17.94364857673645
8,1.7054724059295654,1.5659155883789062,37.65,17.977246522903442
9,1.5540159336090087,1.4740716796875,42.31,17.902600526809692
10,1.445096401901245,1.3714078857421874,45.83,17.924179553985596
11,1.3196065154266357,1.2603843444824219,52.49,17.932708263397217
12,1.2038215539169312,1.151131640625,56.91,17.80053734779358
13,1.1032354076385498,1.0627745788574219,61.38,17.77262258529663
14,1.0082287577819824,0.9440060913085937,66.42,17.7101833820343
15,0.9220699575424194,0.9622125305175782,66.49,17.754422187805176
16,0.855163112487793,0.8927927551269531,69.14,17.736074447631836
17,0.791961659488678,0.7911186584472656,73.49,17.723090410232544
18,0.7421202670669556,0.8108590698242187,72.05,17.738751649856567
19,0.7017996067619324,0.6922159912109375,77.08,17.81434965133667
20,0.6716344216918946,0.6704372253417968,77.83,17.82338833808899
21,0.6346803511238098,0.6279924591064453,78.92,17.724915266036987
22,0.6095597996330261,0.6298326965332032,78.98,17.76026487350464
23,0.5815122829437256,0.6147664733886719,79.57,17.80264711380005
24,0.555603620891571,0.6234586456298828,78.89,17.75542378425598
25,0.5325211227798462,0.5906051574707031,80.27,17.73481822013855
26,0.5104694476318359,0.5264471038818359,82.91,17.762553930282593
27,0.4840215674972534,0.5302011413574219,82.53,17.735215663909912
28,0.4724930272579193,0.5113656280517578,83.14,18.22279644012451
29,0.45090154423713685,0.49759136352539063,83.5,17.753639698028564
30,0.4334571793746948,0.4964743957519531,83.69,17.735620737075806
